2026-05-12 16:59:05,847 - DEBUG - CACHEDIR=C:\Users\ayala\AppData\Local\Temp\tmpi2m9hfl3
2026-05-12 16:59:05,847 - DEBUG - font search path [WindowsPath('C:/Users/ayala/Documents Thesis/GUI_v5/app/dist/GUI_v5_Base_de_Conocimiento/_internal/matplotlib/mpl-data/fonts/ttf'), WindowsPath('C:/Users/ayala/Documents Thesis/GUI_v5/app/dist/GUI_v5_Base_de_Conocimiento/_internal/matplotlib/mpl-data/fonts/afm'), WindowsPath('C:/Users/ayala/Documents Thesis/GUI_v5/app/dist/GUI_v5_Base_de_Conocimiento/_internal/matplotlib/mpl-data/fonts/pdfcorefonts')]
2026-05-12 16:59:08,055 - INFO - generated new fontManager
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 7 to 5
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 5 to 7
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 7 to 5
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 5 to 7
2026-05-12 16:59:26,943 - INFO - Live monitoring Qss/scss/defaultStyle.scss file for changes
2026-05-12 16:59:26,943 - ERROR - Error: Qss/scss/defaultStyle.scss file not found
2026-05-12 16:59:27,674 - DEBUG - Loaded backend qtagg version 6.10.0.
2026-05-12 16:59:27,901 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
